band,band_hz_1,band_hz_2,seed,n_subs,ML_min_p,ML_n_sig,MA_min_p,MA_n_sig,roi_chans,ML_roi_t,ML_roi_p,ML_roi_meanDiff,MA_roi_t,MA_roi_p,MA_roi_meanDiff
theta,4,8,C4,24,0.246753246753247,0,0.197802197802198,0,"P4,CP6,CP2,C4,FC6,FC2,F4",-1.35658721513916,0.188079820879155,-0.310025483115635,-1.89962215374612,0.0700939810878838,-0.339994275419301
theta,4,8,FC2,24,0.242757242757243,0,0.101898101898102,0,"Fz,FC1,CP2,C4,FC6,FC2,F4,Cz",-1.49712697932276,0.147958753564287,-0.288874221764383,-2.55879826240126,0.0175519925258194,-0.370350456444224
theta,4,8,Fz,24,0.288711288711289,0,0.11988011988012,0,"Fz,F3,FC1,FC2,F4",-0.313057914520303,0.757057823157504,-0.0525599306345326,-1.64351822434685,0.1138777148395,-0.294299818967127
alpha,8,12,C4,24,0.538461538461538,0,0.391608391608392,0,"P4,CP6,CP2,C4,FC6,FC2,F4",-1.31414245646544,0.201754530671009,-0.198759020302966,-1.18889814278821,0.246610210518283,-0.205360293622861
alpha,8,12,FC2,24,0.195804195804196,0,0.323676323676324,0,"Fz,FC1,CP2,C4,FC6,FC2,F4,Cz",-1.37849320486698,0.181313047804612,-0.201722607711682,-1.21574710443505,0.236412908588506,-0.231279583053767
alpha,8,12,Fz,24,0.0819180819180819,0,0.104895104895105,0,"Fz,F3,FC1,FC2,F4",-0.866673675626206,0.395072558384821,-0.100217101936636,-1.30158871864052,0.205943905733655,-0.205435797621943
beta,13,25,C4,24,0.327672327672328,0,0.41958041958042,0,"P4,CP6,CP2,C4,FC6,FC2,F4",-1.08506846346763,0.289134221407898,-0.128429820406287,0.0871525594561244,0.93130458215847,0.0105304567427531
beta,13,25,FC2,24,0.0989010989010989,0,0.416583416583417,0,"Fz,FC1,CP2,C4,FC6,FC2,F4,Cz",-0.723389084854299,0.476734027698676,-0.084550893318349,1.17885801820507,0.25050677896503,0.0997381651019913
beta,13,25,Fz,24,0.0759240759240759,0,0.176823176823177,0,"Fz,F3,FC1,FC2,F4",-0.761435051980332,0.454134359760352,-0.0742190739358136,0.507402082929364,0.616703740626079,0.0344736616882554
