band,band_hz_1,band_hz_2,seed,n_subs,mean_trials_LMA_1,mean_trials_LMA_2,mean_trials_LMA_3,ML_min_p,ML_n_sig,MA_min_p,MA_n_sig,roi_chans,ML_roi_t,ML_roi_p,ML_roi_meanDiff,MA_roi_t,MA_roi_p,MA_roi_meanDiff
theta,4,8,C4,24,34.125,35.2083333333333,34.9166666666667,0.626373626373626,0,0.0639360639360639,0,"P4,CP6,CP2,C4,FC6,FC2,F4",-0.770252474459784,0.448990010599354,-0.169745032660006,-2.69965299022158,0.0127890238126831,-0.489554090425287
theta,4,8,FC2,24,34.125,35.2083333333333,34.9166666666667,0.210789210789211,0,0.050949050949051,0,"Fz,FC1,CP2,C4,FC6,FC2,F4,Cz",-0.779525614784891,0.443617995744082,-0.169559651536032,-3.23547597369495,0.00365489043994538,-0.620921725347317
theta,4,8,Fz,24,34.125,35.2083333333333,34.9166666666667,0.712287712287712,0,0.274725274725275,0,"Fz,F3,FC1,FC2,F4",-0.277307207138641,0.784021427240697,-0.0557703230051536,-1.249379113235,0.224092021800713,-0.278240828021605
alpha,8,12,C4,24,34.125,35.2083333333333,34.9166666666667,0.0979020979020979,0,0.258741258741259,0,"P4,CP6,CP2,C4,FC6,FC2,F4",0.9148694467299,0.369752540503973,0.255536879717373,0.275069722772102,0.785718597038396,0.0951226256227053
alpha,8,12,FC2,24,34.125,35.2083333333333,34.9166666666667,0.046953046953047,1,0.258741258741259,0,"Fz,FC1,CP2,C4,FC6,FC2,F4,Cz",0.685298621945824,0.500004741180031,0.170355446386779,0.198991076742263,0.844018339396615,0.0610170890210892
alpha,8,12,Fz,24,34.125,35.2083333333333,34.9166666666667,0.0719280719280719,0,0.512487512487512,0,"Fz,F3,FC1,FC2,F4",0.345656035869769,0.732742818159377,0.0551517727808864,-0.109247401903878,0.913953835811156,-0.0219272593590378
beta,13,25,C4,24,34.125,35.2083333333333,34.9166666666667,0.310689310689311,0,0.441558441558442,0,"P4,CP6,CP2,C4,FC6,FC2,F4",-0.669755127811343,0.50968257187597,-0.113859478103714,0.871863606671709,0.392293367963305,0.120262523462549
beta,13,25,FC2,24,34.125,35.2083333333333,34.9166666666667,0.0959040959040959,0,0.33966033966034,0,"Fz,FC1,CP2,C4,FC6,FC2,F4,Cz",-0.6001495893308,0.554274281313853,-0.0904581451942722,1.62837321574871,0.117068063249026,0.149321959018656
beta,13,25,Fz,24,34.125,35.2083333333333,34.9166666666667,0.034965034965035,1,0.042957042957043,1,"Fz,F3,FC1,FC2,F4",-0.42619665181848,0.673926818402851,-0.0534936162356967,1.38430227074361,0.179551310109738,0.120086582265324
